E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_338.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_338.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_338.jpg, 0, 0, 0, 7.883469E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_437.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_437.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_437.jpg, 0, 0, 0, 8.19667E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_540.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_540.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_540.jpg, 0, 0, 0, 7.788216E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_640.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_640.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_640.jpg, 0, 0, 0, 8.094445E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_741.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_741.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_741.jpg, 0, 0, 0, 7.907553E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_841.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_841.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_841.jpg, 0, 0, 0, 7.821304E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_12_941.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_12_941.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_12_941.jpg, 0, 0, 0, 7.828988E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_13_042.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_13_042.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_13_042.jpg, 0, 0, 0, 7.994327E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_13_142.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_13_142.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_13_142.jpg, 0, 0, 0, 7.864918E-05
E:\self driving\section 14 self driving simulator\DATA\IMG\center_2024_03_26_22_24_13_244.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\left_2024_03_26_22_24_13_244.jpg, E:\self driving\section 14 self driving simulator\DATA\IMG\right_2024_03_26_22_24_13_244.jpg, 0, 0, 0, 7.93628E-05
